Age,Age_Cohort,Band,Critical_Job_Role,Risk_of_Loss,Impact_of_Loss,Future_Leader,EEO_Job_Category,Employment_Status,Ethnic_Background,Gender,Generation,Job_Family,Job_Function,Location,Managerial_Employee,Minority,Organization_Tenure_Months,Organization_Tenure,Employee_ID,Employee_Name,Salary,Salary_Range,Employment_Type,Employment_Type_2,High_Potential,Prev_Performance_Rating,Prev_Successor,Successor,Successor_Duration,Successor_Readiness,Curr_Performance_Rating,Org_Unit_Level_1,Org_Unit_Level_2,Org_Unit_Level_3,Flight_Risk_Grouping,1_Flight_Risk_Driver,1_Flight_Risk_Driver_Value,2_Flight_Risk_Driver,2_Flight_Risk_Driver_Value,3_Flight_Risk_Driver,3_Flight_Risk_Driver_Value,Flight_Risk
32,30-34,Unallocated,Yes,Low,High,Yes,Sales Workers,Active,Caucasian,Female,Generation Y,Account Managers (Sales),Engineering / Technical,North America,Non-Managerial,Non-Minority,96,8 Years,ENG_7948DEF,Gudrun Haggard,50000,$50k-<$60k,Full-Time,Regular,No,Meets Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Energy and Utilities,Corporate Services,Legal Services,Low,Age (Years),26-41,Band,Unallocated,State,California,0
27,25-29,GR-12-Salary Grade 12,Yes,High,High,Yes,Exe/Snr Level Officials & Mgrs,Active,Caucasian,Male,Generation Y,Executives,Business Development,Europe,Managerial,Non-Minority,2,<3 Months,102042,Lou Gosselin,120000,$100k+,Full-Time,Regular,No,Not Rated,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Not Rated,Corporate,Unallocated,Unallocated,Unallocated,Unallocated,,Unallocated,,Unallocated,,0
20,20-24,Unallocated,Yes,High,High,Yes,Office and Clerical,Active,Caucasian,Male,Generation Z,Administrative Support,Store Operations,Europe,Non-Managerial,Non-Minority,5,3-<6 Months,RET_DK524,Samuel Ners,85000,$80k-<$100k,Part-Time,Temporary,No,Not Rated,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Not Rated,Retail,Operations,Planning and Quality Control,Low,Age (Years),0-25,Average Hours,40+,Generation,Generation Y (1979 -,0
57,55-59,Unallocated,No,Low,Medium,No,Sales Workers,Active,Caucasian,Male,Late Boomers,Account Managers (Sales),Sales,North America,Non-Managerial,Non-Minority,108,9 Years,GOV_92027501ABC,Randall Pratta,85000,$80k-<$100k,Full-Time,Regular,No,Meets Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Significantly Exceeds Expectations,Government,Office of Justice Programs,Statistics and Analysis,Low,Position Tenure (Months),63-185,Generation,Late Boomers (1955 -,Age (Years),42-61,0
20,20-24,Unallocated,Yes,High,High,Yes,Office and Clerical,Active,Caucasian,Male,Generation Z,Administrative Support,Store Operations,Europe,Non-Managerial,Non-Minority,24,24-<30 Months,RET_DK336,Daniel Sweet,85000,$80k-<$100k,Full-Time,Regular,No,Meets Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Retail,Operations,Planning and Quality Control,Low,Average Hours,36-40,Generation,Generation Y (1979 -,Band,Unallocated,0
47,45-49,Unallocated,No,High,Low,No,Professionals,Active,Caucasian,Female,Generation X,Business Ops Profs,Engineering / Technical,North America,Non-Managerial,Non-Minority,24,24-<30 Months,ENG_57408,Sandy Monaghan,50000,$50k-<$60k,Full-Time,Regular,No,Meets Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Energy and Utilities,Corporate Services,Administrative Services,Medium,Band,Unallocated,State,California,Employment Type,Full-Time-Regular,0
54,50-54,Unallocated,No,Low,High,No,Sales Workers,Active,Caucasian,Male,Late Boomers,Account Managers (Sales),Engineering / Technical,Asia Pacific,Non-Managerial,Non-Minority,204,17 Years,ENG_92027434ABC,Hayden Brown,120000,$100k+,Full-Time,Regular,No,Meets Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Exceeds Expectations,Energy and Utilities,Operations,Field Support,Low,Band,Unallocated,Position Tenure (Months),186+,State,Melbourne,0
16,<20,Unallocated,Yes,High,High,Yes,Office and Clerical,Active,Caucasian,Male,Generation Z,Administrative Support,Sales,Europe,Non-Managerial,Non-Minority,20,18-<21 Months,FIN_DK1429,Raymond Boulware,85000,$80k-<$100k,Full-Time,Regular,No,Meets Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Corporate,Human Resources,Corporate Services,Medium,Average Hours,36-40,Ethnic Background,Caucasian,Organization Tenure (Months),63-185,0
29,25-29,Unallocated,Yes,Medium,Medium,Yes,Sales Workers,Active,Caucasian,Female,Generation Y,Account Managers (Sales),Sales,North America,Non-Managerial,Non-Minority,72,6 Years,GOV_33603,Kayla Estes,50000,$50k-<$60k,Part-Time,Regular,No,Meets Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Government,Office of General Counsel,Business Law,Medium,Band,Unallocated,Employment Type,Part-Time-Regular,Employment Status,Active,0
40,40-44,Unallocated,Yes,Unallocated,Unallocated,Yes,Professionals,Active,Asian,Female,Generation X,Business Ops Profs,Sales,North America,Non-Managerial,Minority,36,3 Years,GOV_40137ABC,Minghsueh Holster,40000,$40k-<$50k,Full-Time,Regular,No,Meets Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Government,Office of the Secretary,Planning,Low,Position Tenure (Months),28-62,Band,Unallocated,Employment Type,Full-Time-Regular,0
32,30-34,Unallocated,Yes,Medium,Medium,Yes,Sales Workers,Inactive or Other,Caucasian,Female,Generation Y,Account Managers (Sales),Customer Service,North America,Non-Managerial,Non-Minority,108,9 Years,HTH_92027195,Rachel Henn,50000,$50k-<$60k,Full-Time,Regular,No,Meets Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Healthcare,Nursing,Outpatient,Low,Average Hours,36-40,Age (Years),26-41,Position Tenure (Months),63-185,1
49,45-49,Unallocated,Yes,Unallocated,Unallocated,Yes,Office and Clerical,Active,Caucasian,Female,Generation X,Administrative Support,Customer Service,North America,Non-Managerial,Non-Minority,144,12 Years,HTH_34944,Randi Simpson,70000,$60k-<$80k,Full-Time,Regular,No,Significantly Exceeds Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Significantly Exceeds Expectations,Healthcare,Marketing,Public Relations,High,Age (Years),42-61,Employment Type,Full-Time-Regular,Employment Status,Active,0
43,40-44,Unallocated,No,Unallocated,Unallocated,No,Office and Clerical,Active,Caucasian,Female,Generation X,Administrative Support,Sales,Europe,Non-Managerial,Non-Minority,136,13 Years,FIN_52973,Kayla Quiett,30000,$30k-<$40k,Part-Time,Temporary,No,Meets Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Corporate,International Affairs,Exports,Medium,Band,Unallocated,Ethnic Background,Caucasian,Position Tenure (Months),186+,1
20,20-24,Unallocated,Yes,High,High,Yes,Office and Clerical,Active,Caucasian,Male,Generation Z,Administrative Support,Store Operations,Europe,Non-Managerial,Non-Minority,15,15-<18 Months,RET_DK267,Michael Romandetti,85000,$80k-<$100k,Full-Time,Regular,No,Meets Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Retail,Operations,Planning and Quality Control,Low,Band,Unallocated,Ethnic Background,Caucasian,State,London,0
20,20-24,Unallocated,Yes,High,High,Yes,Office and Clerical,Active,Caucasian,Male,Generation Z,Administrative Support,Store Operations,Europe,Non-Managerial,Non-Minority,96,8 Years,RET_DK59,Scotty Ziemann,85000,$80k-<$100k,Full-Time,Regular,No,Not Rated,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Not Rated,Retail,Operations,Planning and Quality Control,Low,Band,Unallocated,Organization Tenure (Months),63-185,Employment Type,Full-Time-Regular,0
44,40-44,Unallocated,No,Medium,High,No,Professionals,Active,Caucasian,Female,Generation X,Directors/Senior Managers,Store Operations,North America,Managerial,Non-Minority,180,15 Years,RET_92030235,Nicolaus Carr,120000,$100k+,Full-Time,Regular,No,Significantly Exceeds Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Retail,Customer Services,Department Personel,Low,Position Tenure (Months),186+,Average Hours,40+,Generation,Generation X (1964 -,0
33,30-34,Unallocated,Yes,Low,Medium,Yes,Professionals,Active,Caucasian,Female,Generation Y,Business Ops Profs,Customer Svcs,North America,Non-Managerial,Non-Minority,144,12 Years,GOV_92027946DEF,Mary Morley,40000,$40k-<$50k,Full-Time,Regular,No,Not Rated,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Government,Office of Inspector General,Investigation,Medium,Band,Unallocated,Position Tenure (Months),63-185,State,Washington,1
24,20-24,Unallocated,Yes,Unallocated,Unallocated,Yes,Sales Workers,Active,Caucasian,Female,Generation Y,Telemarketing Sales,Sales,North America,Non-Managerial,Non-Minority,2,<3 Months,FIN_90902,Lisa McCourry,40000,$40k-<$50k,Full-Time,Regular,No,Not Rated,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Corporate,Sales and Marketing,Product Management,Low,Age (Years),26-41,Average Hours,31-35,City,Brooklyn,0
31,30-34,Unallocated,Yes,High,High,Yes,Sales Workers,Active,Caucasian,Female,Generation Y,Account Managers (Sales),Engineering / Technical,Asia Pacific,Non-Managerial,Non-Minority,96,8 Years,ENG_92027199DEF,Deena Speckmann,50000,$50k-<$60k,Full-Time,Regular,No,Meets Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Exceeds Expectations,Energy and Utilities,Sales and Marketing,Marketing,Low,City,Unallocated,Age (Years),26-41,Generation,Generation Y (1979 -,0
16,<20,Unallocated,Yes,High,High,Yes,Office and Clerical,Active,Caucasian,Male,Generation Z,Administrative Support,Sales,Europe,Non-Managerial,Non-Minority,108,9 Years,FIN_DK607,Paul Rudolph,85000,$80k-<$100k,Full-Time,Regular,No,Meets Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Corporate,Financial Control,Finanical Risk,Low,Age (Years),0-25,Average Hours,0-20,City,Unallocated,0
16,<20,Unallocated,Yes,High,High,Yes,Office and Clerical,Active,Caucasian,Male,Generation Z,Administrative Support,Sales,Europe,Non-Managerial,Non-Minority,22,21-<24 Months,FIN_DK621,Brandyn Gallet,85000,$80k-<$100k,Full-Time,Regular,No,Failed to Meet Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Corporate,International Affairs,Imports,Low,Generation,Generation Y (1979 -,Band,Unallocated,Age (Years),0-25,0
47,45-49,Unallocated,Yes,Low,High,Yes,1st/Mid Level Officials & Mgrs,Active,Caucasian,Female,Generation X,Directors/Senior Managers,Sales,North America,Managerial,Non-Minority,96,7 Years,GOV_92027158DEF,Linda Rosianu,120000,$100k+,Full-Time,Regular,No,Significantly Exceeds Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Significantly Exceeds Expectations,Government,Office of General Counsel,Health Law,Low,Position Tenure (Months),63-185,Band,Unallocated,Age (Years),42-61,0
47,45-49,Unallocated,Yes,Unallocated,Unallocated,Yes,Office and Clerical,Active,Caucasian,Female,Generation X,Administrative Support,Engineering / Technical,North America,Non-Managerial,Non-Minority,144,12 Years,ENG_92028537ABC,Rosann Owens,40000,$40k-<$50k,Full-Time,Regular,No,Meets Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Energy and Utilities,Operations,Field Support,Low,Position Tenure (Months),63-185,Age (Years),42-61,Generation,Generation X (1964 -,0
16,<20,Unallocated,Yes,High,High,Yes,Office and Clerical,Active,Caucasian,Male,Generation Z,Administrative Support,Sales,Europe,Non-Managerial,Non-Minority,2,<3 Months,FIN_DK1456,Perry Dixon,85000,$80k-<$100k,Full-Time,Regular,No,Meets Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Corporate,Sales and Marketing,Marketing,Low,Age (Years),0-25,Position Tenure (Months),28-62,Band,Unallocated,0
57,55-59,Unallocated,Yes,Low,Medium,Yes,Sales Workers,Active,Caucasian,Male,Late Boomers,Account Managers (Sales),Sales,North America,Non-Managerial,Non-Minority,144,12 Years,GOV_92027480ABC,Derrick Lloyd,70000,$60k-<$80k,Full-Time,Regular,No,Significantly Exceeds Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Government,Office of Policy and Planning,Policy Advice and Coordination,Low,Average Hours,40+,City,Port Angeles,Generation,Late Boomers (1955 -,0
34,30-34,Unallocated,No,Low,High,No,1st/Mid Level Officials & Mgrs,Active,Caucasian,Female,Generation Y,Supervisors/Leaders,Customer Service,North America,Non-Managerial,Non-Minority,24,24-<30 Months,HTH_59034ABC,Traci Ibrahim,70000,$60k-<$80k,Full-Time,Regular,No,Meets Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Healthcare,Nursing,Medical Services,Low,Generation,Generation Y (1979 -,Age (Years),26-41,Band,Unallocated,0
66,65+,Unallocated,No,Medium,High,No,Sales Workers,Active,Caucasian,Male,Early Boomers,Account Managers (Sales),Customer Service,North America,Non-Managerial,Non-Minority,180,15 Years,HTH_92027495,John Passmore,85000,$80k-<$100k,Full-Time,Temporary,No,Meets Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Healthcare,Marketing,Telecommunications,Low,Band,Unallocated,Organization Tenure (Months),186+,State,Michigan,0
35,35-39,Unallocated,Yes,Low,Low,Yes,Office and Clerical,Active,Caucasian,Female,Generation Y,Administrative Support,Sales,Europe,Non-Managerial,Non-Minority,36,3 Years,FIN_9146,Clorissa Hutchins,30000,$30k-<$40k,Full-Time,Regular,No,Meets Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Corporate,Sales and Marketing,Product Management,Low,Position Tenure (Months),63-185,Band,Unallocated,State,Paris,0
63,60-64,Unallocated,Yes,Low,High,Yes,Sales Workers,Active,Caucasian,Male,Early Boomers,Account Managers (Sales),Engineering / Technical,Asia Pacific,Non-Managerial,Non-Minority,240,20 Years,ENG_92027546DEF,Ryan Milotte,70000,$60k-<$80k,Full-Time,Regular,No,Exceeds Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Energy and Utilities,Operations,Field Support,Low,Position Tenure (Months),186+,Band,Unallocated,State,Brisbane,0
28,25-29,Unallocated,Yes,Unallocated,Unallocated,Yes,Office and Clerical,Active,Caucasian,Female,Generation Y,Administrative Support,Engineering / Technical,Asia Pacific,Non-Managerial,Non-Minority,36,3 Years,ENG_43532,Gwenda Jeckel,30000,$30k-<$40k,Full-Time,Regular,No,Meets Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Energy and Utilities,Customer Relations,Customer Support,Low,Average Hours,40+,Position Tenure (Months),28-62,Generation,Generation Y (1979 -,0
47,45-49,Unallocated,No,Unallocated,Unallocated,No,Office and Clerical,Active,Caucasian,Female,Generation X,Administrative Support,Marketing & Sls,Europe,Non-Managerial,Non-Minority,24,24-<30 Months,FIN_14746,Sarah Groves,40000,$40k-<$50k,Full-Time,Regular,No,Meets Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Significantly Exceeds Expectations,Corporate,Sales and Marketing,Businesss Sales,Medium,Band,Unallocated,Ethnic Background,Caucasian,Age (Years),42-61,1
49,45-49,Unallocated,Yes,Low,Medium,Yes,Professionals,Active,Caucasian,Male,Generation X,Business Ops Profs,Sales,North America,Non-Managerial,Non-Minority,132,11 Years,GOV_92027670ABC,Baratt Gipson,70000,$60k-<$80k,Full-Time,Temporary,No,Meets Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Government,Office of the Secretary,Financial Management Service,Low,Band,Unallocated,Position Tenure (Months),63-185,Age (Years),42-61,0
32,30-34,Unallocated,Yes,Low,Medium,Yes,Sales Workers,Active,Caucasian,Female,Generation Y,Account Managers (Sales),Sales,North America,Non-Managerial,Non-Minority,96,8 Years,GOV_92027185ABC,Carol Diviesta,40000,$40k-<$50k,Full-Time,Regular,No,Significantly Exceeds Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Government,Office of Policy and Planning,Planning and Forecasting,Low,Band,Unallocated,Organization Tenure (Months),63-185,Age (Years),26-41,0
38,35-39,Unallocated,No,Low,Medium,No,Professionals,Active,Caucasian,Female,Generation X,Information Systems Profs,Engineering / Technical,North America,Non-Managerial,Non-Minority,5,3-<6 Months,ENG_92028859ABC,Nicole Morais,40000,$40k-<$50k,Full-Time,Regular,No,Not Rated,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Not Rated,Energy and Utilities,Operations,Field Support,Low,Average Hours,40+,Age (Years),26-41,Generation,Generation X (1964 -,0
38,35-39,Unallocated,No,Low,Medium,No,Professionals,Active,Caucasian,Female,Generation X,Information Systems Profs,Engineering / Technical,North America,Non-Managerial,Non-Minority,5,3-<6 Months,ENG_92028859DEF,Sheena Mansfield,40000,$40k-<$50k,Full-Time,Regular,No,Not Rated,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Not Rated,Energy and Utilities,Operations,Field Support,Medium,Average Hours,0-20,Organization Tenure (Months),43186,State,Oregon,0
29,25-29,Unallocated,Yes,Unallocated,Unallocated,Yes,Professionals,Active,Caucasian,Female,Generation Y,Business Ops Profs,Sales,North America,Non-Managerial,Non-Minority,72,6 Years,GOV_15179ABC,Julie Wooley,40000,$40k-<$50k,Full-Time,Regular,Yes,Significantly Exceeds Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Significantly Exceeds Expectations,Government,Office of General Counsel,General and Administrative Law,Medium,Average Hours,36-40,Age (Years),26-41,Organization Tenure (Months),63-185,0
20,20-24,Unallocated,Yes,High,High,Yes,Office and Clerical,Active,Caucasian,Male,Generation Z,Administrative Support,Store Operations,Europe,Non-Managerial,Non-Minority,96,8 Years,RET_DK357,Austin Salvo,85000,$80k-<$100k,Full-Time,Regular,No,Meets Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Retail,Operations,Planning and Quality Control,Low,Age (Years),0-25,Band,Unallocated,Organization Tenure (Months),63-185,0
16,<20,Unallocated,Yes,High,High,Yes,Office and Clerical,Active,Caucasian,Female,Generation Z,Administrative Support,Sales,Europe,Non-Managerial,Non-Minority,48,4 Years,FIN_DK720,Paige Thomas,85000,$80k-<$100k,Full-Time,Regular,No,Significantly Exceeds Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Corporate,Financial Control,Controllers,Medium,Average Hours,0-20,Generation,Generation Y (1979 -,Position Tenure (Months),28-62,0
25,25-29,Unallocated,No,Low,High,No,Professionals,Active,Caucasian,Female,Generation Y,Business Ops Profs,Engineering / Technical,North America,Non-Managerial,Non-Minority,24,24-<30 Months,ENG_61233,Roberta Strainic,40000,$40k-<$50k,Full-Time,Regular,No,Exceeds Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Energy and Utilities,Operations,Project Management,Low,Band,Unallocated,Employment Type,Full-Time-Regular,Employment Status,Active,0
24,20-24,Unallocated,Yes,Low,Medium,Yes,Professionals,Active,Caucasian,Male,Generation Y,Business Ops Profs,Customer Service,North America,Non-Managerial,Non-Minority,2,<3 Months,HTH_99596ABC,Quentin West,40000,$40k-<$50k,Full-Time,Regular,No,Not Rated,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Not Rated,Healthcare,Nursing,Outpatient,Medium,Organization Tenure (Months),43186,Ethnic Background,Caucasian,Age (Years),0-25,0
38,35-39,Unallocated,No,Low,High,No,Exe/Snr Level Officials & Mgrs,Active,Caucasian,Male,Generation X,Senior Leadership,Sales,North America,Managerial,Non-Minority,60,5 Years,GOV_21233DEF,Jason Tribaso,120000,$100k+,Full-Time,Regular,No,Significantly Exceeds Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Significantly Exceeds Expectations,Government,Office of Inspector General,Evaluation and Inspections,Medium,Band,Unallocated,Position Tenure (Months),63-185,Age (Years),26-41,1
51,50-54,Unallocated,Yes,High,High,Yes,1st/Mid Level Officials & Mgrs,Active,Caucasian,Male,Generation X,Directors/Senior Managers,Engineering / Technical,North America,Managerial,Non-Minority,1108,19 Years,ENG_92027054,Dylan Reger,120000,$100k+,Full-Time,Regular,No,Exceeds Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Energy and Utilities,Corporate Services,Finance,Low,Generation,Late Boomers (1955 -,Position Tenure (Months),186+,Age (Years),42-61,0
21,20-24,Unallocated,Yes,High,High,Yes,Professionals,Active,Caucasian,Male,Generation Y,Business Ops Profs,Sales,Asia Pacific,Non-Managerial,Non-Minority,2,<3 Months,FIN_61135,Brian Huprich,40000,$40k-<$50k,Full-Time,Regular,No,Meets Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Corporate,Sales and Marketing,Product Management,Medium,Age (Years),26-41,Band,Unallocated,Position Tenure (Months),28-62,0
50,50-54,Unallocated,Yes,Low,Low,Yes,Sales Workers,Active,Caucasian,Male,Generation X,Telemarketing Sales,Engineering / Technical,North America,Non-Managerial,Non-Minority,2,<3 Months,ENG_92027369ABC,Gary Black,50000,$50k-<$60k,Full-Time,Regular,No,Not Rated,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Not Rated,Energy and Utilities,Operations,Field Support,Medium,Band,Unallocated,Age (Years),42-61,State,California,0
30,30-34,Unallocated,No,Unallocated,Unallocated,Yes,1st/Mid Level Officials & Mgrs,Active,Caucasian,Male,Generation Y,Directors/Senior Managers,Sales,North America,Non-Managerial,Non-Minority,36,3 Years,GOV_34957DEF,Robby Spies,70000,$60k-<$80k,Full-Time,Regular,No,Significantly Exceeds Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Government,Office of General Counsel,Health Law,Low,Band,Unallocated,Position Tenure (Months),63-185,Ethnic Background,Caucasian,0
