Customer ID,Customer Name,Customer_Segment,Sector,Country,Customer_Status,Annual_Speed,Length_Of_Sales_Cycle,Product_Name,Highest_Contract_Level,Compelling_Event,RFP,Sales_Engineer_Engaged,Services_Included,Customer_Meeting,License,Contacts,Opportunity_Value
24,ERL Freiburg,Enterprise,Manufacturing,Japan,prior customer,Small,6 Months,Analytics,Manager Level,Yes,Yes,Yes,Yes,16,262,35,72000
25,Phundix KG,SMB,Consumer Product,Italy,current customer,Small,6 Months,ERP,Manager Level,No,No,Yes,Yes,22,120,126,17000
26,Hitech AG,Enterprise,Goods,UK,prior customer,Small,1 Year,Portal,Individual Contributor Level,No,Yes,Yes,No,14,280,57,70000
27,CBD Computer Based Design,SMB,Construction,China,prospect,Large,6 Months,Identity Server,Individual Contributor Level,No,Yes,Yes,No,31,58,54,14000
28,Motomarkt Stuttgart GmbH,SMB,Consumer Product,UK,prior customer,Large,6 Months,Web Server,Manager Level,No,No,Yes,No,26,83,7,33000
29,Elektromarkt Bamby,Enterprise,Apparel,UK,prior customer,Medium,1 Year,Web Server,Individual Contributor Level,No,No,No,No,27,190,11,73000
30,Computer Competence Center,SMB,Finserv,Brazil,prospect,Small,6 Months,Portal,Manager Level,No,No,Yes,Yes,5,95,71,40000
31,LCH Markt,SMB,High tech,North America,prior customer,Huge,2 Years,Database,Manager Level,No,No,Yes,No,24,105,107,69000
32,Christal Clear,Fortune500,Construction,North America,prior customer,Large,1 Year,Portal,Manager Level,No,No,Yes,No,22,203,151,75000
33,Becker Koeln,Enterprise,Retail,UK,prior customer,Big,1 Month,Application Server,Manager Level,Yes,No,Yes,Yes,6,65,18,45000
34,Becker Stuttgart,SMB,Manufacturing,China,prospect,Huge,6 Months,Application Server,Manager Level,Yes,Yes,No,No,3,23,35,11000
35,NSM Pumpentechnik AG,Fortune500,Consumer Product,India,current customer,Medium,1 Year,Analytics,C-Level,No,Yes,No,No,20,345,78,104000
36,Amadeus,Enterprise,Consumer Product,China,current customer,Medium,18 Months,Application Server,Individual Contributor Level,Yes,Yes,No,Yes,8,27,126,28000
37,Technik und Systeme GmbH,Fortune500,Construction,Germany,current customer,Huge,1 Year,Security,C-Level,No,Yes,Yes,Yes,49,190,168,168000
38,A.I.T. GmbH,Fortune500,Finserv,Japan,prospect,Large,18 Months,Security,C-Level,No,No,Yes,No,19,136,131,40000
39,PILAR am Neckar,SMB,Consumer Product,India,prospect,Medium,1 Month,Identity Server,Individual Contributor Level,Yes,No,Yes,No,21,53,12,36000
40,Societe Chimique Picardie SA,SMB,Goods,France,prospect,Big,6 Months,ERP,C-Level,No,No,Yes,Yes,31,129,145,19000
41,General Distributors GmbH,SMB,Construction,India,prospect,Huge,2 Years,Portal,Manager Level,No,No,No,Yes,26,143,54,23000
42,General Distributors Inc.,SMB,High tech,UK,current customer,Medium,18 Months,CRM,Individual Contributor Level,Yes,Yes,Yes,Yes,15,70,30,19000
43,C.A.S. Computer Application Systems,Enterprise,High tech,Brazil,prior customer,Large,18 Months,Web Server,C-Level,No,No,No,No,19,84,59,69000
44,Aircraft Products,Fortune500,High tech,Japan,current customer,Large,1 Year,ERP,C-Level,Yes,No,No,No,20,528,91,117000
45,Deutsche Computer AG,Enterprise,Consumer Product,Japan,prior customer,Medium,1 Month,Identity Server,Manager Level,No,No,No,Yes,11,198,44,36000
46,TALPA GmbH,SMB,High tech,UK,prior customer,Big,6 Months,Identity Server,Individual Contributor Level,No,No,Yes,Yes,7,117,136,24000
47,CompSmart Inc.,SMB,Construction,Germany,prior customer,Small,18 Months,Database,Manager Level,Yes,No,No,Yes,28,81,140,46000
48,J & P,SMB,Manufacturing,China,prior customer,Small,6 Months,Application Server,Individual Contributor Level,No,No,Yes,No,27,24,38,27000
49,Motor Sports,Enterprise,Retail,Japan,current customer,Medium,2 Years,CRM,Manager Level,No,No,Yes,Yes,8,224,108,40000
50,Caribbean Computer Supply Corp,SMB,High tech,Germany,prospect,Huge,2 Years,Application Server,Manager Level,No,Yes,Yes,Yes,19,44,152,21000
51,Carbor GmbH,Enterprise,Retail,France,prior customer,Large,1 Year,Identity Server,C-Level,Yes,Yes,Yes,No,23,229,73,43000
52,SAPSOTA AG,Enterprise,Goods,Japan,prior customer,Small,6 Months,Identity Server,Manager Level,No,No,Yes,Yes,26,244,31,60000
53,SudaTech GmbH,Enterprise,Goods,India,prospect,Small,1 Month,Analytics,Individual Contributor Level,Yes,Yes,No,Yes,21,128,110,48000
54,Etelko Textilien,Fortune500,High tech,China,prospect,Small,6 Months,Identity Server,C-Level,Yes,No,No,Yes,20,110,72,45000
55,Software Systeme GmbH,SMB,Healthcare,Russia,prospect,Medium,1 Year,Analytics,Manager Level,No,No,Yes,No,17,96,128,22000
56,COMPU Tech. AG,SMB,Manufacturing,Russia,prospect,Medium,6 Months,Analytics,Individual Contributor Level,Yes,No,Yes,Yes,23,111,121,25000
57,N.I.C. High Tech,SMB,Consumer Product,Italy,current customer,Big,1 Month,ERP,Manager Level,No,No,Yes,No,13,69,46,34000
58,Jaspers Computers,Enterprise,Apparel,Italy,prior customer,Large,1 Year,Portal,C-Level,Yes,Yes,Yes,Yes,11,206,105,45000
59,CompuMax GmbH,Enterprise,Retail,France,prior customer,Huge,1 Month,Identity Server,C-Level,Yes,No,Yes,Yes,22,160,5,68000
60,PC-World Stuttgart KG,SMB,Retail,UK,prospect,Huge,1 Month,ERP,Individual Contributor Level,Yes,Yes,Yes,Yes,21,108,137,20000
61,S.C.T. Electro,Fortune500,Finserv,China,current customer,Huge,1 Year,Web Server,C-Level,No,Yes,Yes,Yes,24,522,97,124000
62,Bit Market,SMB,Finserv,Japan,prior customer,Small,2 Years,Web Server,Individual Contributor Level,Yes,Yes,No,Yes,12,131,108,43000
63,HTG Komponente GmbH,Enterprise,Goods,Russia,prior customer,Big,1 Year,Security,C-Level,No,Yes,No,Yes,25,144,118,62000
64,Motomarkt Heidelberg GmbH,Fortune500,Consumer Product,Italy,prior customer,Large,6 Months,CRM,C-Level,Yes,No,Yes,No,3,126,137,35000
65,Napoli Export,Enterprise,High tech,Brazil,prior customer,Medium,6 Months,Security,Manager Level,No,Yes,No,Yes,21,85,98,62000
66,Jashanmal International Trading Co,SMB,Goods,Germany,prospect,Big,1 Month,CRM,Manager Level,Yes,Yes,Yes,Yes,23,106,37,29000
67,Adecom SA,Fortune500,Healthcare,North America,current customer,Huge,1 Year,Web Server,C-Level,Yes,Yes,No,No,20,351,192,170000
68,Bernardin SA,Enterprise,Apparel,China,prior customer,Big,1 Year,CRM,Manager Level,Yes,No,No,Yes,22,79,61,58000
69,Miller & Son Trading Ltd.,Enterprise,Healthcare,Japan,prior customer,Small,6 Months,Portal,Manager Level,Yes,Yes,No,Yes,18,280,76,60000
70,Norwegian Import & Export Group,Enterprise,Consumer Product,France,prior customer,Large,18 Months,ERP,Manager Level,No,Yes,Yes,No,24,240,90,55000
71,Industrial Supplies Inc.,SMB,Goods,North America,prospect,Big,6 Months,Identity Server,Individual Contributor Level,Yes,Yes,Yes,Yes,10,23,19,50000
72,Live Insurance Inc.,Fortune500,Manufacturing,China,prospect,Large,1 Year,CRM,Individual Contributor Level,Yes,No,Yes,No,22,116,35,44000
73,Davis Integration System,Fortune500,Retail,Italy,current customer,Medium,1 Year,Identity Server,C-Level,No,No,No,Yes,29,168,26,150000
74,Insurance Company,Fortune500,Construction,Japan,current customer,Huge,1 Year,Analytics,C-Level,Yes,No,Yes,No,40,263,101,179000
75,Princeton Health Center,SMB,Retail,North America,prospect,Big,1 Month,Security,C-Level,No,No,Yes,Yes,17,130,27,26000
76,Candid International Technology,Enterprise,Consumer Product,UK,prior customer,Medium,1 Year,CRM,Individual Contributor Level,Yes,Yes,Yes,No,12,289,90,59000
77,C-Tech Corp,SMB,Goods,Brazil,prior customer,Medium,18 Months,Identity Server,Manager Level,Yes,No,No,Yes,25,22,44,43000
78,Mafor Software Service Corp.,SMB,Construction,France,prospect,Medium,6 Months,Portal,Individual Contributor Level,No,No,Yes,Yes,22,82,66,24000
79,Cross Worlds Consulting,Enterprise,Consumer Product,India,current customer,Huge,1 Year,Web Server,C-Level,No,No,No,Yes,22,530,151,132000
80,Andyna and Dynana Laboratories Inc,Enterprise,Construction,Germany,prospect,Medium,6 Months,Identity Server,C-Level,Yes,Yes,No,Yes,24,56,111,58000
81,Palo Alto Airways Inc.,Enterprise,Consumer Product,Japan,current customer,Small,1 Month,Identity Server,Manager Level,Yes,No,Yes,Yes,23,67,154,44000
82,Hotel Alfonso Del Vida,Fortune500,Finserv,India,prior customer,Large,2 Years,ERP,C-Level,No,Yes,No,Yes,18,135,127,71000
83,La Quinta Hotel & Towers,Fortune500,Retail,Brazil,current customer,Huge,1 Year,Application Server,C-Level,No,No,Yes,Yes,34,372,37,132000
84,Rogier Golf Resort YY,Enterprise,Finserv,Germany,prior customer,Large,2 Years,ERP,C-Level,Yes,Yes,Yes,No,12,190,55,47000
85,Park Lane Hotel And Spa,Enterprise,Finserv,Brazil,prior customer,Big,1 Year,CRM,C-Level,Yes,No,Yes,No,29,231,24,39000
86,Media Store,SMB,Retail,Russia,prospect,Small,6 Months,CRM,C-Level,Yes,Yes,Yes,No,7,33,58,14000
87,ADCOM COMPUTER,Enterprise,High tech,Japan,prior customer,Small,6 Months,Security,C-Level,No,Yes,No,No,26,78,46,61000
88,ALPHA Center,Fortune500,Construction,Brazil,current customer,Small,1 Year,ERP,C-Level,Yes,No,No,No,17,227,96,140000
89,Tidemann Electronics,SMB,Goods,Germany,current customer,Huge,1 Year,Web Server,Individual Contributor Level,Yes,No,Yes,Yes,8,127,32,24000
90,Ketiv Technologies,Fortune500,High tech,Germany,current customer,Small,1 Year,CRM,C-Level,No,Yes,Yes,Yes,32,325,192,142000
91,Hotshot Racing,Enterprise,Finserv,Italy,prospect,Small,18 Months,ERP,C-Level,Yes,Yes,Yes,Yes,26,201,62,51000
92,Tornado Motorsports,Enterprise,Finserv,Brazil,prospect,Small,2 Years,Application Server,Individual Contributor Level,No,No,No,No,17,299,115,65000
93,Computer Specialists Inc.,SMB,Healthcare,Germany,current customer,Large,6 Months,Identity Server,Manager Level,No,Yes,No,Yes,20,41,66,30000
94,LES Sales Company,Fortune500,Goods,UK,current customer,Large,1 Year,Web Server,C-Level,Yes,Yes,Yes,No,21,427,111,162000
76,Candid International Technology,Fortune500,High tech,Russia,current customer,Medium,1 Year,Identity Server,C-Level,Yes,No,No,No,44,316,25,128000
95,PH Monitor Corporation,SMB,Construction,China,prospect,Medium,1 Month,Application Server,Manager Level,No,Yes,No,No,6,148,68,25000
96,CCS Industrial,Enterprise,Finserv,Japan,prior customer,Small,1 Month,ERP,Manager Level,No,No,No,Yes,17,65,58,45000
97,North Energy Ltd,Enterprise,Manufacturing,Germany,current customer,Medium,1 Year,Analytics,C-Level,Yes,Yes,Yes,No,27,505,50,142000
98,Wallace Distribution,Fortune500,Healthcare,France,current customer,Medium,1 Year,Analytics,Individual Contributor Level,No,No,No,No,16,22,30,36000
99,Powers & Company,SMB,Consumer Product,Russia,prior customer,Large,6 Months,Identity Server,Manager Level,Yes,Yes,No,Yes,18,134,24,45000
100,Company World Incorporated,SMB,High tech,North America,prior customer,Medium,1 Year,Security,C-Level,Yes,No,Yes,No,5,84,70,44000
101,Compu Tech,SMB,High tech,India,prospect,Big,6 Months,Portal,Manager Level,Yes,No,Yes,Yes,7,101,78,23000
102,Alexander Inc.,Fortune500,Healthcare,Japan,current customer,Huge,1 Year,Analytics,C-Level,No,Yes,Yes,Yes,38,274,150,132000
103,Karl Smith,SMB,Goods,Russia,prospect,Small,1 Month,Identity Server,Individual Contributor Level,No,No,Yes,Yes,27,73,152,36000
104,Hallmann Anlagenbau GmbH,Fortune500,Goods,France,current customer,Large,1 Year,Identity Server,C-Level,Yes,No,No,No,27,508,130,150000
105,RIWA Headquarters,SMB,Finserv,UK,current customer,Large,1 Month,ERP,Individual Contributor Level,No,Yes,No,Yes,2,138,151,27000
106,RIWA Regional Storage Trenton,SMB,Manufacturing,China,prospect,Small,18 Months,Web Server,Manager Level,Yes,No,Yes,Yes,17,73,113,19000
107,RIWA Regional Warehouse Denver,SMB,Finserv,North America,prospect,Huge,18 Months,CRM,Individual Contributor Level,No,No,Yes,Yes,21,20,62,33000
108,Inustrias Pacificas S.A.,Enterprise,Construction,North America,prior customer,Big,18 Months,Application Server,C-Level,No,Yes,Yes,Yes,19,93,113,75000
109,Flatter & Asche AG,Enterprise,Retail,India,prior customer,Large,1 Year,Application Server,Manager Level,No,No,Yes,No,5,137,88,54000
110,John Taylor,SMB,Finserv,Russia,current customer,Medium,2 Years,Analytics,C-Level,Yes,Yes,No,No,5,236,40,66000
111,Zuber AG,Enterprise,High tech,India,prior customer,Small,6 Months,Security,C-Level,Yes,Yes,No,Yes,9,219,71,52000
112,Feuerwehr Tuning AG,Fortune500,Manufacturing,UK,prospect,Huge,6 Months,Identity Server,Individual Contributor Level,Yes,No,No,No,21,136,143,39000
113,Walther Maschinenbau GmbH,Enterprise,Construction,India,prior customer,Small,1 Month,Analytics,Manager Level,No,Yes,No,Yes,5,95,12,56000
114,Schnelle Feuerwehr,SMB,High tech,India,current customer,Small,1 Year,ERP,C-Level,No,No,No,No,15,368,76,171000
115,Einmalkunde,Fortune500,Goods,Italy,prior customer,Huge,6 Months,Database,Manager Level,No,No,No,Yes,15,88,40,30000
116,PR Electronics France,Enterprise,Construction,Italy,prior customer,Small,1 Year,ERP,Manager Level,No,No,Yes,No,29,113,55,45000
117,Global Industries PLC,SMB,Retail,China,prospect,Huge,1 Month,Identity Server,C-Level,No,No,No,Yes,13,100,60,28000
118,Global Technologies PLC,Fortune500,High tech,Italy,current customer,Small,1 Year,Web Server,C-Level,Yes,Yes,Yes,Yes,16,214,42,95000
119,The Wine Consignee Inc.,Fortune500,High tech,France,prospect,Huge,1 Year,CRM,Individual Contributor Level,No,Yes,Yes,No,6,22,15,17000
120,IDES US Inc.,Fortune500,High tech,India,current customer,Huge,1 Year,Analytics,C-Level,Yes,No,Yes,Yes,16,200,53,113000
121,Wal-Mart,Enterprise,High tech,North America,prior customer,Large,6 Months,CRM,C-Level,No,Yes,No,Yes,12,116,52,41000
122,IDONWANAPAY  Stores,Fortune500,Consumer Product,Brazil,prospect,Big,6 Months,Identity Server,Manager Level,No,Yes,No,No,10,149,70,42000
123,Super-Mart,SMB,High tech,India,prior customer,Big,1 Month,Application Server,Manager Level,No,No,No,No,16,37,14,20000
124,Krogertsens,Enterprise,Healthcare,France,current customer,Big,6 Months,Security,Manager Level,No,No,Yes,No,6,128,107,41000
124,Krogertsens,Enterprise,Goods,Italy,prospect,Big,1 Month,Database,Manager Level,No,Yes,Yes,Yes,17,170,45,65000
125,Mamoun Darkazanli,SMB,Healthcare,North America,prior customer,Big,6 Months,Database,Manager Level,Yes,Yes,Yes,No,11,106,55,23000
126,Software Warehouse,Enterprise,Healthcare,Japan,prior customer,Medium,1 Year,ERP,Manager Level,Yes,Yes,Yes,No,27,211,121,46000
127,Buying Unlimited,Fortune500,Healthcare,China,current customer,Big,1 Year,Analytics,C-Level,No,Yes,No,No,39,310,94,191000
128,Gourmet Market,Enterprise,Goods,India,prior customer,Huge,6 Months,Portal,C-Level,Yes,No,Yes,Yes,23,242,126,64000
129,Muster Kunde,SMB,High tech,UK,current customer,Large,1 Year,Portal,C-Level,Yes,Yes,No,No,18,272,142,135000
130,Cliente 2,Fortune500,Finserv,India,current customer,Large,1 Year,Analytics,C-Level,Yes,No,No,Yes,49,313,102,140000
131,Havers  Inc.,Enterprise,Healthcare,Italy,prior customer,Large,1 Month,Portal,C-Level,Yes,Yes,No,No,21,271,64,60000
132,REMA Superstore,Enterprise,Construction,France,prior customer,Huge,18 Months,Portal,Manager Level,No,Yes,Yes,No,17,288,142,72000
133,01Megastore,Enterprise,Consumer Product,Brazil,prospect,Big,18 Months,Analytics,Individual Contributor Level,No,No,No,Yes,18,70,31,44000
134,06MegaStore,Fortune500,Finserv,India,current customer,Huge,1 Year,Portal,C-Level,Yes,No,Yes,Yes,35,348,183,162000
135,Carmella Credit,SMB,Construction,Russia,prior customer,Huge,18 Months,Identity Server,Individual Contributor Level,No,Yes,Yes,Yes,3,52,86,17000
136,Havers Inc,Enterprise,Consumer Product,Japan,prior customer,Small,1 Year,Database,Individual Contributor Level,Yes,No,No,No,26,150,19,66000
137,Cilox HiTech,Enterprise,Finserv,Japan,prior customer,Medium,1 Month,Portal,C-Level,Yes,Yes,No,No,20,63,50,39000
138,Computer Systems,Fortune500,Finserv,Japan,current customer,Big,1 Year,Database,C-Level,No,Yes,No,No,34,256,171,161000
139,Antipolis,Fortune500,Goods,China,prospect,Large,18 Months,CRM,C-Level,Yes,Yes,No,Yes,6,56,17,39000
140,Praxis Dr. M³ller,Enterprise,Healthcare,China,prospect,Huge,2 Years,Application Server,Manager Level,No,Yes,Yes,No,11,176,114,56000
141,Praxis Dr. Ernst & Dr. Weissing,Enterprise,Finserv,Brazil,prior customer,Large,18 Months,Application Server,C-Level,No,No,Yes,Yes,26,146,32,73000
142,Praxis Dr. Rot,Fortune500,High tech,Japan,current customer,Large,1 Year,Web Server,C-Level,Yes,Yes,Yes,No,45,234,200,156000
143,REMA WH Regensburg,Enterprise,Retail,Russia,prior customer,Big,6 Months,Security,Individual Contributor Level,No,No,Yes,Yes,12,261,60,75000
144,Ernst Brinkmann KG,SMB,Goods,Japan,prior customer,Large,1 Year,Portal,Manager Level,No,No,No,Yes,22,85,68,66000
145,Builders Depot,SMB,Consumer Product,North America,prospect,Large,2 Years,Web Server,C-Level,No,Yes,Yes,Yes,28,244,82,49000
146,Clinton Industries,Enterprise,Goods,Italy,prior customer,Big,1 Month,Application Server,C-Level,No,No,Yes,No,10,53,113,60000
147,Thornbury Enterprises,SMB,Finserv,Japan,prospect,Large,1 Month,ERP,Manager Level,Yes,No,No,Yes,6,28,128,48000
148,American Security Company,Enterprise,High tech,France,current customer,Large,2 Years,CRM,Manager Level,Yes,No,No,Yes,17,239,115,66000
149,Web Design Studio,SMB,Manufacturing,Japan,prospect,Big,1 Month,Web Server,Individual Contributor Level,Yes,Yes,No,No,8,75,38,38000
150,Titan Manufacturing,SMB,Healthcare,Japan,prior customer,Small,1 Month,Application Server,C-Level,Yes,Yes,No,Yes,26,111,136,47000
151,Holden & Associates,Enterprise,Manufacturing,Russia,prior customer,Huge,6 Months,CRM,C-Level,No,No,Yes,No,7,134,87,43000
152,Milton & Milton,Enterprise,Manufacturing,China,prior customer,Large,1 Month,Application Server,Manager Level,No,Yes,Yes,No,24,270,141,47000
153,Brighton Inc,Enterprise,Apparel,Italy,prior customer,Small,1 Month,Database,Manager Level,No,No,Yes,Yes,22,241,27,64000
154,Sunburst Inc,SMB,Healthcare,Japan,current customer,Big,2 Years,Analytics,Individual Contributor Level,Yes,No,No,Yes,2,146,93,36000
155,Matrax,Enterprise,Construction,North America,prior customer,Medium,6 Months,Security,C-Level,Yes,Yes,No,Yes,23,137,113,72000
156,JMart,Enterprise,Goods,China,current customer,Small,2 Years,ERP,Manager Level,No,Yes,No,No,23,133,94,50000
157,Innovative Systems Inc.,Enterprise,High tech,India,prior customer,Big,1 Year,ERP,Manager Level,Yes,Yes,Yes,Yes,14,244,97,68000
158,Hall Manufacturing,SMB,Construction,Italy,prospect,Medium,6 Months,ERP,Manager Level,Yes,Yes,No,No,30,135,130,50000
159,Rema Store 1010,Enterprise,Goods,Germany,prior customer,Huge,1 Year,Security,Manager Level,Yes,No,Yes,Yes,7,144,126,44000
160,Jim┤s Mart 1026,SMB,Goods,Japan,prior customer,Large,1 Year,Security,Manager Level,No,Yes,No,Yes,10,138,139,33000
161,Fred Miller,SMB,Healthcare,Brazil,prior customer,Small,18 Months,Portal,Manager Level,Yes,Yes,No,Yes,25,78,11,37000
162,vNet,SMB,Consumer Product,India,prospect,Medium,6 Months,ERP,Manager Level,No,Yes,Yes,Yes,9,63,37,50000
163,Data Corp.,Fortune500,Finserv,North America,current customer,Large,1 Year,Identity Server,C-Level,Yes,No,No,No,45,272,86,134000
164,Second Source,Fortune500,Retail,Japan,current customer,Large,1 Year,Portal,C-Level,No,No,Yes,No,46,421,139,173000
165,xNET,SMB,Retail,India,prospect,Small,6 Months,Security,Manager Level,No,No,Yes,No,2,100,34,19000
166,World PC Inc.,SMB,Finserv,North America,current customer,Small,18 Months,Database,Individual Contributor Level,Yes,No,No,No,2,29,113,41000
167,Townsend Company,SMB,Apparel,China,prospect,Large,6 Months,Application Server,C-Level,Yes,Yes,Yes,Yes,25,98,120,12000
168,Avnet Electronics,SMB,Goods,France,prospect,Huge,18 Months,Portal,C-Level,No,No,Yes,No,28,39,9,27000
169,EC Enterprises,SMB,Finserv,Japan,prior customer,Small,1 Month,Web Server,Individual Contributor Level,Yes,No,Yes,Yes,3,61,93,19000
170,Microwell,Enterprise,Manufacturing,Germany,prior customer,Large,2 Years,Analytics,C-Level,No,Yes,Yes,No,24,186,125,39000
171,Industrie Dynamique,Fortune500,Construction,India,current customer,Medium,1 Year,Analytics,C-Level,No,Yes,Yes,Yes,23,308,102,144000
172,Abidon Corp,SMB,Finserv,France,current customer,Huge,18 Months,Database,Manager Level,No,No,No,No,19,29,144,21000
173,Greentree Enterprise,SMB,Retail,China,prospect,Medium,6 Months,CRM,C-Level,Yes,No,Yes,No,31,15,85,32000
174,Timco Corporation,SMB,Finserv,China,prospect,Large,2 Years,Portal,Manager Level,Yes,No,No,Yes,21,53,23,25000
175,Rawlings Group,Enterprise,Healthcare,North America,prior customer,Small,2 Years,Database,Manager Level,Yes,No,No,Yes,8,188,19,43000
176,Landstar Corp,Enterprise,Apparel,Germany,prospect,Small,6 Months,Analytics,Manager Level,No,Yes,No,No,12,109,13,64000
177,Lou Windham,SMB,Healthcare,UK,current customer,Small,2 Years,Analytics,C-Level,Yes,Yes,Yes,Yes,6,95,57,25000
178,Tom Little,SMB,Apparel,UK,prior customer,Huge,6 Months,Identity Server,Manager Level,Yes,Yes,Yes,Yes,16,58,81,34000
179,MARIE WITENBURG,Fortune500,Retail,UK,prior customer,Medium,6 Months,Security,C-Level,Yes,No,Yes,Yes,19,150,72,48000
180,MARIE ZDROK,Enterprise,Goods,China,prior customer,Huge,1 Year,CRM,C-Level,Yes,Yes,No,No,11,63,87,68000
181,LORI ZINNY,Fortune500,Healthcare,India,current customer,Big,1 Year,Web Server,C-Level,Yes,No,No,No,22,474,54,93000
182,JANET ZUSSIN,Fortune500,Construction,France,prior customer,Large,18 Months,Security,Manager Level,No,Yes,No,Yes,6,201,126,65000
183,JANE CASTILLO,Enterprise,Manufacturing,Russia,prior customer,Small,1 Year,Identity Server,Individual Contributor Level,Yes,No,No,Yes,9,216,119,76000
184,JANE SANCHEZ,SMB,Retail,Russia,prior customer,Large,2 Years,Application Server,Manager Level,Yes,No,Yes,Yes,9,148,54,70000
185,P. Baker,Fortune500,Goods,China,prospect,Small,6 Months,CRM,Manager Level,Yes,No,No,No,5,110,24,18000
186,ALAN FAITH,SMB,Healthcare,France,prospect,Small,1 Month,Identity Server,Individual Contributor Level,No,Yes,Yes,Yes,31,33,45,44000
187,JIM FARAIZL,Fortune500,High tech,Brazil,current customer,Large,1 Year,Application Server,C-Level,Yes,No,No,No,40,471,128,125000
188,ALAN FARRAR,SMB,Goods,China,prospect,Huge,2 Years,ERP,Individual Contributor Level,No,No,No,Yes,19,77,151,39000
189,BILL FERNANCE,Fortune500,Construction,China,current customer,Medium,1 Month,Application Server,Individual Contributor Level,Yes,No,Yes,No,18,83,55,35000
190,BILL FERRARA,Fortune500,Apparel,India,current customer,Small,1 Year,Application Server,C-Level,No,Yes,No,No,19,354,112,182000
191,ALAN FINER,Enterprise,Manufacturing,China,prior customer,Huge,6 Months,Web Server,C-Level,No,Yes,Yes,No,20,285,78,54000
192,JAMES GRUPER,SMB,Consumer Product,UK,prospect,Small,6 Months,Analytics,Manager Level,Yes,No,Yes,No,23,67,114,28000
193,JOHN GRÍNROS,SMB,Retail,North America,prospect,Big,6 Months,ERP,Manager Level,Yes,Yes,No,No,19,25,32,27000
194,ALAN GUETTEL,SMB,Apparel,Russia,prior customer,Medium,6 Months,Database,Manager Level,No,Yes,Yes,Yes,13,33,141,25000
